"Source:","C:\Users\davil\Google Drive\Tesis doctorado\lab balzay\diseño estacion\esp32evsek6\esp32evsek6\esp32evsek6.kicad_sch"
"Date:","3/5/2023 22:55:15"
"Tool:","Eeschema (6.0.0)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","65"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","22u","Device:C","Capacitor_THT:C_Radial_D5.0mm_H7.0mm_P2.00mm","~"
"","","C2","22u","Device:C","Capacitor_THT:C_Radial_D5.0mm_H7.0mm_P2.00mm","~"
"","","C3","22u","Device:C","Capacitor_THT:C_Radial_D5.0mm_H7.0mm_P2.00mm","~"
"","","C4","22u","Device:C","Capacitor_THT:C_Radial_D5.0mm_H7.0mm_P2.00mm","~"
"","","D1","D_TVS","Device:D_TVS","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
"","","D2","D_TVS","Device:D_TVS","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
"","","D3","D","Device:D","Diode_THT:D_T-1_P10.16mm_Horizontal","~"
"","","D4","D","Device:D","Diode_THT:D_T-1_P10.16mm_Horizontal","~"
"","","D5","1N4148","Diode:1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"","","D6","1N4148","Diode:1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"","","D7","D","Device:D","Diode_THT:D_T-1_P10.16mm_Horizontal","~"
"","","D8","D","Device:D","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
"","","D9","D","Device:D","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
"","","D10","D","Device:D","Diode_THT:D_T-1_P10.16mm_Horizontal","~"
"","","J1","Conn_01x04_Female","Connector:Conn_01x04_Female","Connector_JST:JST_NV_B04P-NV_1x04_P5.00mm_Vertical","~"
"","","J2","Conn_01x03_Female","Connector:Conn_01x03_Female","Connector_JST:JST_NV_B03P-NV_1x03_P5.00mm_Vertical","~"
"","","J3","Conn_01x03_Female","Connector:Conn_01x03_Female","Connector_JST:JST_NV_B03P-NV_1x03_P5.00mm_Vertical","~"
"","","J4","Conn_01x02_Female","Connector:Conn_01x02_Female","Connector_JST:JST_NV_B02P-NV_1x02_P5.00mm_Vertical","~"
"","","J5","Conn_01x02_Female","Connector:Conn_01x02_Female","Connector_JST:JST_NV_B02P-NV_1x02_P5.00mm_Vertical","~"
"","","K1","FINDER-36.11","Relay:FINDER-36.11","Relay_THT:Relay_SPDT_Finder_36.11","https://gfinder.findernet.com/public/attachments/36/EN/S36EN.pdf"
"","","K2","FINDER-36.11","Relay:FINDER-36.11","Relay_THT:Relay_SPDT_Finder_36.11","https://gfinder.findernet.com/public/attachments/36/EN/S36EN.pdf"
"","","Q1","2N3904","Transistor_BJT:2N3904","Package_TO_SOT_THT:TO-92_Inline_Wide","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF"
"","","Q2","2N3904","Transistor_BJT:2N3904","Package_TO_SOT_THT:TO-92_Inline_Wide","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF"
"","","R1","100k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"","","R2","100k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
